"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"Clifton","43.12","-79.07",NA,"America/Toronto","5","71171","6135638"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"Tx","maximum air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","ta","ta_mean","Tx","ww"
1868-04-13 14:00:00,3.33,NA,NA,NA
1868-04-13 14:00:00,NA,NA,NA,",SKC NA"
1868-04-13 21:00:00,1.11,NA,NA,NA
1868-04-13 21:00:00,NA,NA,NA,",SKC NA"
1868-04-14,NA,5.56,NA,NA
1868-04-14,NA,NA,NA,NA
1868-04-14 07:00:00,3.33,NA,NA,NA
1868-04-14 07:00:00,NA,NA,NA,",BKN NA"
1868-04-14 14:00:00,10,NA,NA,NA
1868-04-14 14:00:00,NA,NA,NA,",RA NA"
1868-04-14 21:00:00,4.44,NA,NA,NA
1868-04-14 21:00:00,NA,NA,NA,",OVC NA"
1868-04-15,NA,10.56,NA,NA
1868-04-15,NA,NA,NA,NA
1868-04-15 07:00:00,10,NA,NA,NA
1868-04-15 07:00:00,NA,NA,NA,",SKC NA"
1868-04-15 14:00:00,11.11,NA,NA,NA
1868-04-15 14:00:00,NA,NA,NA,",RA NA"
1868-04-15 21:00:00,11.11,NA,NA,NA
1868-04-15 21:00:00,NA,NA,NA,",OVC NA"
1868-04-16,NA,11.67,NA,NA
1868-04-16,NA,NA,NA,NA
1868-04-16,NA,NA,NA,NA
1868-04-16 07:00:00,11.67,NA,NA,NA
1868-04-16 07:00:00,NA,NA,NA,",OVC NA"
1868-04-16 14:00:00,13.33,NA,NA,NA
1868-04-16 14:00:00,NA,NA,NA,",SCT NA"
1868-04-16 21:00:00,10,NA,NA,NA
1868-04-16 21:00:00,NA,NA,NA,",SKC NA"
1868-04-17,NA,8.33,NA,NA
1868-04-17,NA,NA,NA,NA
1868-04-17 07:00:00,8.89,NA,NA,NA
1868-04-17 07:00:00,NA,NA,NA,",SKC NA"
1868-04-17 14:00:00,11.11,NA,NA,NA
1868-04-17 14:00:00,NA,NA,NA,",SCT NA"
1868-04-17 21:00:00,5.56,NA,NA,NA
1868-04-17 21:00:00,NA,NA,NA,",OVC NA"
1868-04-18,NA,2.22,NA,NA
1868-04-18,NA,NA,NA,NA
