	TranscriptionID: 1397 Invalid data: illegible on 1862-04-04 	Field: 85 - Pressure_7AM
	TranscriptionID: 1429 Invalid data: Aur. Bor. very bright on 1861-12-23  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1429 Invalid data: The Aur. Bor. very bright on 1861-12-25  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1429 Invalid data: The Aur Bor very bright on 1861-12-26  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1430 Invalid data: the Aur, Bor very bright all over on 1862-01-01  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1430 Invalid data: Aur. Bor. very bright on 1862-01-06  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1430 Invalid data: Aur Bor very bright at 10 pm on 1862-01-07  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1430 Invalid data: Aur Bor very bright on 1862-01-08  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1430 Invalid data: Aur Bor very bright at 11 pm on 1862-01-09  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1430 Invalid data: Aur Bor very bright on 1862-01-11  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1430 Invalid data: Aur. Bor. bright on 1862-01-14  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1430 Invalid data: Aur Bor bright on 1862-01-15  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1430 Invalid data: Aur Bor bright at 7 pm on 1862-01-16  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1430 Invalid data: Aur Bor. very bright on 1862-01-18  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1430 Invalid data: Aur Bor very bright on 1862-01-19  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1430 Invalid data: Aur Bor very bright on 1862-01-20  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1430 Invalid data: Aur Bor very bright all over on 1862-01-21  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1430 Invalid data: Aur Bor very bright on 1862-01-22  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1430 Invalid data: Aur Bor very bright on 1862-01-24  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1430 Invalid data: Aur Bor very bright on 1862-01-29  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1431 Invalid data: The Aur. Bor from E to N on 1862-02-13  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1431 Invalid data: The Aur bor. from E to N low on 1862-02-14  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1431 Invalid data: The Aur bor. from E to N low on 1862-02-15  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1431 Invalid data: The Aur Bor from E to N on 1862-02-16  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1431 Invalid data: The Aur Bor from E to N on 1862-02-17  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1431 Invalid data: The Aur Bor from E to N on 1862-02-18  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1431 Invalid data: The sun rose red on 1862-02-20  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1431 Invalid data: The Aur Bor very bright on 1862-02-21  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1431 Invalid data: The sun rose red on 1862-02-22  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1431 Invalid data: the sun rose red on 1862-02-24  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1432 Invalid data: The Aur. bor very bright at 10 pm from E to W on 1862-03-04  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1432 Invalid data: light showers of snow at [illegible] at 1/4 to 5 a[m] on 1862-03-05 	Field: 155 - Casual_Phenomena
	TranscriptionID: 1432 Invalid data: the Aur Bor faint at 8 pm fin SE to NW on 1862-03-12  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1432 Invalid data: the sun rose red on 1862-03-13  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1432 Invalid data: The Aur. Bor very bright at 9pm E to W on 1862-03-14  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1432 Invalid data: The sun set red on 1862-03-15  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1432 Invalid data: The Aur.Bor. faint E to N low at 9 pm on 1862-03-16  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1432 Invalid data: The Aur Bor faint E to N low at 8pm on 1862-03-18  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1432 Invalid data: The Aur Bor faint + low E to N at 7:30 pm on 1862-03-20  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1432 Invalid data: the sun rose and set red on 1862-03-21  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1432 Invalid data: [illegible] showers of snow all day but began to snow hard as the evening advanced on 1862-03-26 	Field: 155 - Casual_Phenomena
	TranscriptionID: 1432 Invalid data: Cleared up at 6pm on 1862-03-27  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1432 Invalid data: Blew very hard from NW all night until day light + began again on the evening on 1862-03-28  Hour:0	Field: 155 - Casual_Phenomena
