"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"LittleWhaleRiver","56.03","-76.75","3.6","America/Montreal","5","71615","7103539"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"Tn","minimum surface temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","dd","pr","ta","Tn","w"
1861-11-23 14:00:00,180,NA,NA,NA,NA
1861-11-23 14:00:00,NA,0,NA,NA,NA
1861-11-23 14:00:00,NA,NA,-1.67,NA,NA
1861-11-23 14:00:00,NA,NA,NA,NA,0
1861-11-23 21:00:00,135,NA,NA,NA,NA
1861-11-23 21:00:00,NA,0,NA,NA,NA
1861-11-23 21:00:00,NA,NA,-2.22,NA,NA
1861-11-23 21:00:00,NA,NA,NA,NA,0
1861-11-24,NA,NA,NA,NA,NA
1861-11-24,NA,NA,NA,-11.67,NA
1861-11-24,NA,NA,NA,NA,NA
1861-11-24 07:00:00,135,NA,NA,NA,NA
1861-11-24 07:00:00,NA,NA,NA,NA,NA
1861-11-24 07:00:00,NA,NA,-7.78,NA,NA
1861-11-24 07:00:00,NA,NA,NA,NA,0
1861-11-24 14:00:00,135,NA,NA,NA,NA
1861-11-24 14:00:00,NA,0,NA,NA,NA
1861-11-24 14:00:00,NA,NA,-8.89,NA,NA
1861-11-24 14:00:00,NA,NA,NA,NA,0
1861-11-24 21:00:00,135,NA,NA,NA,NA
1861-11-24 21:00:00,NA,0,NA,NA,NA
1861-11-24 21:00:00,NA,NA,-11.67,NA,NA
1861-11-24 21:00:00,NA,NA,NA,NA,0
1861-11-25,NA,NA,NA,NA,NA
1861-11-25,NA,NA,NA,-17.22,NA
1861-11-25,NA,NA,NA,NA,NA
1861-11-25 07:00:00,135,NA,NA,NA,NA
1861-11-25 07:00:00,NA,0,NA,NA,NA
1861-11-25 07:00:00,NA,NA,-15,NA,NA
1861-11-25 07:00:00,NA,NA,NA,NA,0
1861-11-25 14:00:00,135,NA,NA,NA,NA
1861-11-25 14:00:00,NA,0,NA,NA,NA
1861-11-25 14:00:00,NA,NA,-11.11,NA,NA
1861-11-25 14:00:00,NA,NA,NA,NA,0
1861-11-25 21:00:00,135,NA,NA,NA,NA
1861-11-25 21:00:00,NA,0,NA,NA,NA
1861-11-25 21:00:00,NA,NA,-13.89,NA,NA
1861-11-25 21:00:00,NA,NA,NA,NA,0
1861-11-26,NA,NA,NA,NA,NA
1861-11-26,NA,NA,NA,-17.78,NA
1861-11-26,NA,NA,NA,NA,NA
1861-11-26 07:00:00,135,NA,NA,NA,NA
1861-11-26 07:00:00,NA,0,NA,NA,NA
1861-11-26 07:00:00,NA,NA,-16.11,NA,NA
1861-11-26 07:00:00,NA,NA,NA,NA,0
1861-11-26 14:00:00,135,NA,NA,NA,NA
1861-11-26 14:00:00,NA,0,NA,NA,NA
1861-11-26 14:00:00,NA,NA,-11.11,NA,NA
1861-11-26 14:00:00,NA,NA,NA,NA,0
1861-11-26 21:00:00,135,NA,NA,NA,NA
1861-11-26 21:00:00,NA,0,NA,NA,NA
1861-11-26 21:00:00,NA,NA,-13.89,NA,NA
1861-11-26 21:00:00,NA,NA,NA,NA,0
1861-11-27,NA,NA,NA,NA,NA
1861-11-27,NA,NA,NA,-16.67,NA
1861-11-27,NA,NA,NA,NA,NA
1861-11-27 07:00:00,135,NA,NA,NA,NA
1861-11-27 07:00:00,NA,0,NA,NA,NA
1861-11-27 07:00:00,NA,NA,-14.44,NA,NA
1861-11-27 07:00:00,NA,NA,NA,NA,0
1861-11-27 14:00:00,135,NA,NA,NA,NA
1861-11-27 14:00:00,NA,0,NA,NA,NA
1861-11-27 14:00:00,NA,NA,-9.44,NA,NA
1861-11-27 14:00:00,NA,NA,NA,NA,0
1861-11-27 21:00:00,135,NA,NA,NA,NA
1861-11-27 21:00:00,NA,0,NA,NA,NA
1861-11-27 21:00:00,NA,NA,-12.22,NA,NA
1861-11-27 21:00:00,NA,NA,NA,NA,0
1861-11-28,NA,NA,NA,NA,NA
1861-11-28,NA,NA,NA,-16.11,NA
1861-11-28,NA,NA,NA,NA,NA
1861-11-28 07:00:00,135,NA,NA,NA,NA
1861-11-28 07:00:00,NA,0,NA,NA,NA
1861-11-28 07:00:00,NA,NA,-11.67,NA,NA
1861-11-28 07:00:00,NA,NA,NA,NA,0
1861-11-28 14:00:00,135,NA,NA,NA,NA
1861-11-28 14:00:00,NA,0,NA,NA,NA
1861-11-28 14:00:00,NA,NA,-9.44,NA,NA
1861-11-28 14:00:00,NA,NA,NA,NA,0
1861-11-28 21:00:00,135,NA,NA,NA,NA
1861-11-28 21:00:00,NA,0,NA,NA,NA
1861-11-28 21:00:00,NA,NA,-15,NA,NA
1861-11-28 21:00:00,NA,NA,NA,NA,0
1861-11-29,NA,NA,NA,NA,NA
1861-11-29,NA,NA,NA,-17.22,NA
1861-11-29,NA,NA,NA,NA,NA
1861-11-29 07:00:00,135,NA,NA,NA,NA
1861-11-29 07:00:00,NA,0,NA,NA,NA
1861-11-29 07:00:00,NA,NA,-15.56,NA,NA
1861-11-29 07:00:00,NA,NA,NA,NA,0
1861-11-29 14:00:00,135,NA,NA,NA,NA
1861-11-29 14:00:00,NA,0,NA,NA,NA
1861-11-29 14:00:00,NA,NA,-11.67,NA,NA
1861-11-29 14:00:00,NA,NA,NA,NA,0
1861-11-29 21:00:00,135,NA,NA,NA,NA
1861-11-29 21:00:00,NA,0,NA,NA,NA
1861-11-29 21:00:00,NA,NA,-15,NA,NA
1861-11-29 21:00:00,NA,NA,NA,NA,0
1861-11-30,NA,NA,NA,NA,NA
1861-11-30,NA,NA,NA,-22.78,NA
