"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"CoalHarbour","49.3","-123.1","18","America/Vancouver","8","71201","1108446"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","dd","ta","w"
1884-02-01 09:00:00,NA,2.2,NA
1884-02-01 10:00:00,NA,3.3,NA
1884-02-01 11:00:00,NA,5,NA
1884-02-01 12:00:00,NA,6.1,NA
1884-02-01 13:00:00,NA,5,NA
1884-02-01 14:00:00,NA,5.6,NA
1884-02-01 15:00:00,NA,4.4,NA
1884-02-01 16:00:00,NA,3.3,NA
1884-02-01 17:00:00,NA,2.2,NA
1884-02-01 18:00:00,NA,1.7,NA
1884-02-01 19:00:00,NA,0.6,NA
1884-02-02,NA,NA,NA
1884-02-02 06:00:00,NA,0,NA
1884-02-02 07:00:00,NA,0,NA
1884-02-02 08:00:00,NA,0,NA
1884-02-02 09:00:00,NA,1.1,NA
1884-02-02 10:00:00,NA,1.7,NA
1884-02-02 11:00:00,NA,2.2,NA
1884-02-02 12:00:00,NA,2.2,NA
1884-02-02 13:00:00,NA,2.2,NA
1884-02-02 14:00:00,NA,3.9,NA
1884-02-02 15:00:00,NA,3.3,NA
1884-02-02 16:00:00,NA,2.2,NA
1884-02-02 17:00:00,NA,1.1,NA
1884-02-02 18:00:00,NA,0.6,NA
1884-02-02 19:00:00,NA,0,NA
1884-02-03,NA,NA,NA
1884-02-03 06:00:00,NA,-6.7,NA
1884-02-03 07:00:00,NA,-5,NA
1884-02-03 08:00:00,NA,-3.3,NA
1884-02-03 09:00:00,NA,0,NA
1884-02-03 10:00:00,NA,1.1,NA
1884-02-03 11:00:00,NA,0.6,NA
1884-02-03 12:00:00,NA,0.6,NA
1884-02-03 13:00:00,NA,0.6,NA
1884-02-03 14:00:00,NA,0.6,NA
1884-02-03 15:00:00,NA,0.6,NA
1884-02-03 16:00:00,NA,-0.6,NA
1884-02-03 17:00:00,NA,-1.7,NA
1884-02-03 18:00:00,NA,-2.2,NA
1884-02-03 19:00:00,NA,-2.8,NA
1884-02-04,NA,NA,NA
1884-02-04 06:00:00,NA,-7.8,NA
1884-02-04 07:00:00,NA,-7.2,NA
1884-02-04 08:00:00,NA,-5.6,NA
1884-02-04 09:00:00,NA,1.7,NA
1884-02-04 10:00:00,NA,2.8,NA
1884-02-04 11:00:00,NA,3.9,NA
1884-02-04 12:00:00,NA,3.3,NA
1884-02-04 13:00:00,NA,2.2,NA
1884-02-04 14:00:00,NA,2.2,NA
1884-02-04 15:00:00,NA,1.7,NA
1884-02-04 16:00:00,NA,0,NA
1884-02-04 17:00:00,NA,-1.7,NA
1884-02-04 18:00:00,NA,-2.2,NA
1884-02-04 19:00:00,NA,-2.8,NA
1884-02-05,NA,NA,NA
