"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"FortNelson","58.8","-122.7","400","America/Fort_Nelson","7","71594","1192948"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","dd","ta","ww"
1821-12-10 07:00:00,NA,8.33,NA
1821-12-10 12:00:00,45,NA,NA
1821-12-10 14:00:00,NA,12.22,NA
1821-12-10 21:00:00,NA,15.56,NA
1821-12-11,NA,NA,",SKC NA"
1821-12-11 07:00:00,NA,9.44,NA
1821-12-11 12:00:00,315,NA,NA
1821-12-11 14:00:00,NA,12.22,NA
1821-12-11 21:00:00,NA,8.33,NA
1821-12-12,NA,NA,",SKC NA"
1821-12-12 07:00:00,NA,3.89,NA
1821-12-12 12:00:00,45,NA,NA
1821-12-12 14:00:00,NA,11.11,NA
1821-12-12 21:00:00,NA,8.89,NA
1821-12-13,NA,NA,",BKN NA"
1821-12-13,NA,NA,NA
1821-12-13 07:00:00,NA,7.78,NA
1821-12-13 12:00:00,225,NA,NA
1821-12-13 14:00:00,NA,13.33,NA
1821-12-13 21:00:00,NA,10,NA
1821-12-14,NA,NA,",SKC NA"
1821-12-14 07:00:00,NA,3.33,NA
1821-12-14 12:00:00,225,NA,NA
1821-12-14 14:00:00,NA,2.78,NA
1821-12-14 21:00:00,NA,5.56,NA
1821-12-15,NA,NA,",SKC NA"
1821-12-15 07:00:00,NA,-1.67,NA
1821-12-15 12:00:00,315,NA,NA
1821-12-15 14:00:00,NA,3.89,NA
1821-12-15 21:00:00,NA,1.11,NA
1821-12-16,NA,NA,",SKC NA"
1821-12-16 07:00:00,NA,1.11,NA
1821-12-16 12:00:00,0,NA,NA
1821-12-16 14:00:00,NA,2.22,NA
1821-12-16 21:00:00,NA,1.11,NA
1821-12-17,NA,NA,",BKN NA"
1821-12-17,NA,NA,NA
1821-12-17 07:00:00,NA,2.22,NA
1821-12-17 12:00:00,315,NA,NA
1821-12-17 14:00:00,NA,5.56,NA
1821-12-17 21:00:00,NA,7.78,NA
1821-12-18,NA,NA,",BKN NA"
1821-12-18,NA,NA,NA
1821-12-18 07:00:00,NA,6.67,NA
1821-12-18 12:00:00,315,NA,NA
1821-12-18 14:00:00,NA,8.89,NA
1821-12-18 21:00:00,NA,10,NA
1821-12-19,NA,NA,",SKC NA"
1821-12-19 07:00:00,NA,3.89,NA
1821-12-19 12:00:00,315,NA,NA
1821-12-19 14:00:00,NA,6.67,NA
1821-12-19 21:00:00,NA,6.11,NA
1821-12-20,NA,NA,",SKC NA"
1821-12-20 07:00:00,NA,4.44,NA
1821-12-20 12:00:00,180,NA,NA
1821-12-20 14:00:00,NA,11.67,NA
1821-12-20 21:00:00,NA,13.33,NA
1821-12-21,NA,NA,",BKN NA"
1821-12-21,NA,NA,NA
1821-12-21 07:00:00,NA,12.22,NA
1821-12-21 12:00:00,180,NA,NA
1821-12-21 14:00:00,NA,18.89,NA
1821-12-21 21:00:00,NA,16.67,NA
1821-12-22,NA,NA,",SKC NA"
1821-12-22 07:00:00,NA,17.78,NA
1821-12-22 12:00:00,0,NA,NA
1821-12-22 14:00:00,NA,10,NA
1821-12-22 21:00:00,NA,4.44,NA
1821-12-23,NA,NA,",SKC NA"
1821-12-23 07:00:00,NA,1.11,NA
1821-12-23 12:00:00,315,NA,NA
1821-12-23 14:00:00,NA,2.22,NA
1821-12-23 21:00:00,NA,1.67,NA
1821-12-24,NA,NA,",SKC NA"
1821-12-24 07:00:00,NA,1.67,NA
1821-12-24 12:00:00,0,NA,NA
1821-12-24 14:00:00,NA,2.22,NA
1821-12-24 21:00:00,NA,4.44,NA
1821-12-25,NA,NA,",SKC NA"
1821-12-25 07:00:00,NA,2.22,NA
1821-12-25 12:00:00,315,NA,NA
1821-12-25 14:00:00,NA,4.44,NA
1821-12-25 21:00:00,NA,7.78,NA
1821-12-26,NA,NA,",SKC NA"
1821-12-26 07:00:00,NA,0,NA
1821-12-26 12:00:00,315,NA,NA
1821-12-26 14:00:00,NA,7.78,NA
1821-12-26 21:00:00,NA,5.56,NA
1821-12-27,NA,NA,",SKC NA"
1821-12-27 07:00:00,NA,-1.67,NA
1821-12-27 12:00:00,270,NA,NA
1821-12-27 14:00:00,NA,6.67,NA
1821-12-27 21:00:00,NA,6.67,NA
1821-12-28,NA,NA,",SKC NA"
1821-12-28 07:00:00,NA,1.11,NA
1821-12-28 12:00:00,180,NA,NA
1821-12-28 14:00:00,NA,13.33,NA
1821-12-28 21:00:00,NA,10,NA
1821-12-29,NA,NA,",SKC NA"
1821-12-29 07:00:00,NA,4.44,NA
1821-12-29 12:00:00,270,NA,NA
1821-12-29 14:00:00,NA,8.89,NA
1821-12-29 21:00:00,NA,7.78,NA
1821-12-30,NA,NA,",BKN NA"
1821-12-30,NA,NA,NA
1821-12-30 07:00:00,NA,4.44,NA
1821-12-30 12:00:00,0,NA,NA
1821-12-30 14:00:00,NA,8.33,NA
1821-12-30 21:00:00,NA,7.78,NA
1821-12-31,NA,NA,",SKC NA"
1821-12-31 07:00:00,NA,-1.11,NA
1821-12-31 12:00:00,0,NA,NA
1821-12-31 14:00:00,NA,4.44,NA
1821-12-31 21:00:00,NA,3.33,NA
