Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,13,,,,,,,,,,,,,,,,,,,,,,,,no observations made on this day
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,14,,,,,,,,,,,,,,,,,,,,,,,,no observations made on this day
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,15,,,,,,,,,,,,,,,,,,,,,,,,no observations made on this day
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,16,,,,,,,,,,,,,,,,,,,,,,,,no observations made on this day
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,17,,,,,,,,,,,,,,,,,,,,,,,,no observations made on this day
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,18,,,,,,,,,,,,,,,,,,,,,,,,no observations made on this day
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,19,,,,,,,,,,,,,,,,,,,,,,,,no observations made on this day
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,20,,,,,,,,,,,,,,,,,,,,,,,,no observations made on this day
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,21,,,,,,,,,,,,,,,61,,,,36,,,,,
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,22,,,,,,,,,,,,,,,,,,,46,,,,,
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,23,,56,,,,,,,,,,,,,,,,,58,,,,,
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,24,,46,,,,,,,,,,,,,,,,,62,,,,Clear,
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,25,,,38,,,,,,[Recrey] [illegible],,,,,,,,,,34,,,,[seven thunder storm + much wind],
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,26,,,,,,,,,,,,,,,,,,,33,,,,,Observations were cut off 
